Sample Name	Protocol REF	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
P011	Extraction	D2O	P011	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/112.zip	NMR assay	P011	FILES/112.zip	Data transformation	P011		Metabolite identification	P011	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P012	Extraction	D2O	P012	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/113.zip	NMR assay	P012	FILES/113.zip	Data transformation	P012		Metabolite identification	P012	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P013	Extraction	D2O	P013	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/115.zip	NMR assay	P013	FILES/115.zip	Data transformation	P013		Metabolite identification	P013	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P014	Extraction	D2O	P014	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/116.zip	NMR assay	P014	FILES/116.zip	Data transformation	P014		Metabolite identification	P014	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P015	Extraction	D2O	P015	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/126.zip	NMR assay	P015	FILES/126.zip	Data transformation	P015		Metabolite identification	P015	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P016	Extraction	D2O	P016	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/128.zip	NMR assay	P016	FILES/128.zip	Data transformation	P016		Metabolite identification	P016	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P017	Extraction	D2O	P017	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/130.zip	NMR assay	P017	FILES/130.zip	Data transformation	P017		Metabolite identification	P017	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P018	Extraction	D2O	P018	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/132.zip	NMR assay	P018	FILES/132.zip	Data transformation	P018		Metabolite identification	P018	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P019	Extraction	D2O	P019	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/133.zip	NMR assay	P019	FILES/133.zip	Data transformation	P019		Metabolite identification	P019	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P020	Extraction	D2O	P020	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/134.zip	NMR assay	P020	FILES/134.zip	Data transformation	P020		Metabolite identification	P020	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
