Sample Name	Protocol REF	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
P021	Extraction	D2O	P021	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/135.zip	NMR assay	P021	FILES/135.zip	Data transformation	P021		Metabolite identification	P021	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P022	Extraction	D2O	P022	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/136.zip	NMR assay	P022	FILES/136.zip	Data transformation	P022		Metabolite identification	P022	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P023	Extraction	D2O	P023	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/137.zip	NMR assay	P023	FILES/137.zip	Data transformation	P023		Metabolite identification	P023	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P024	Extraction	D2O	P024	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/138.zip	NMR assay	P024	FILES/138.zip	Data transformation	P024		Metabolite identification	P024	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P025	Extraction	D2O	P025	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/139.zip	NMR assay	P025	FILES/139.zip	Data transformation	P025		Metabolite identification	P025	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P026	Extraction	D2O	P026	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/140.zip	NMR assay	P026	FILES/140.zip	Data transformation	P026		Metabolite identification	P026	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P027	Extraction	D2O	P027	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/141.zip	NMR assay	P027	FILES/141.zip	Data transformation	P027		Metabolite identification	P027	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P028	Extraction	D2O	P028	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/142.zip	NMR assay	P028	FILES/142.zip	Data transformation	P028		Metabolite identification	P028	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P029	Extraction	D2O	P029	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/143.zip	NMR assay	P029	FILES/143.zip	Data transformation	P029		Metabolite identification	P029	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P030	Extraction	D2O	P030	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/144.zip	NMR assay	P030	FILES/144.zip	Data transformation	P030		Metabolite identification	P030	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P031	Extraction	D2O	P031	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/145.zip	NMR assay	P031	FILES/145.zip	Data transformation	P031		Metabolite identification	P031	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P032	Extraction	D2O	P032	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/146.zip	NMR assay	P032	FILES/146.zip	Data transformation	P032		Metabolite identification	P032	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P033	Extraction	D2O	P033	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/147.zip	NMR assay	P033	FILES/147.zip	Data transformation	P033		Metabolite identification	P033	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P034	Extraction	D2O	P034	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/148.zip	NMR assay	P034	FILES/148.zip	Data transformation	P034		Metabolite identification	P034	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P035	Extraction	D2O	P035	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/149.zip	NMR assay	P035	FILES/149.zip	Data transformation	P035		Metabolite identification	P035	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P036	Extraction	D2O	P036	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/150.zip	NMR assay	P036	FILES/150.zip	Data transformation	P036		Metabolite identification	P036	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P037	Extraction	D2O	P037	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/151.zip	NMR assay	P037	FILES/151.zip	Data transformation	P037		Metabolite identification	P037	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P038	Extraction	D2O	P038	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/152.zip	NMR assay	P038	FILES/152.zip	Data transformation	P038		Metabolite identification	P038	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P039	Extraction	D2O	P039	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/153.zip	NMR assay	P039	FILES/153.zip	Data transformation	P039		Metabolite identification	P039	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P040	Extraction	D2O	P040	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/155.zip	NMR assay	P040	FILES/155.zip	Data transformation	P040		Metabolite identification	P040	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P041	Extraction	D2O	P041	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/156.zip	NMR assay	P041	FILES/156.zip	Data transformation	P041		Metabolite identification	P041	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P042	Extraction	D2O	P042	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/157.zip	NMR assay	P042	FILES/157.zip	Data transformation	P042		Metabolite identification	P042	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P043	Extraction	D2O	P043	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/158.zip	NMR assay	P043	FILES/158.zip	Data transformation	P043		Metabolite identification	P043	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P044	Extraction	D2O	P044	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/159.zip	NMR assay	P044	FILES/159.zip	Data transformation	P044		Metabolite identification	P044	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P045	Extraction	D2O	P045	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/160.zip	NMR assay	P045	FILES/160.zip	Data transformation	P045		Metabolite identification	P045	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C001	Extraction	D2O	C001	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/117.zip	NMR assay	C001	FILES/117.zip	Data transformation	C001		Metabolite identification	C001	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C002	Extraction	D2O	C002	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/118.zip	NMR assay	C002	FILES/118.zip	Data transformation	C002		Metabolite identification	C002	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C003	Extraction	D2O	C003	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/119.zip	NMR assay	C003	FILES/119.zip	Data transformation	C003		Metabolite identification	C003	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C004	Extraction	D2O	C004	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/120.zip	NMR assay	C004	FILES/120.zip	Data transformation	C004		Metabolite identification	C004	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C005	Extraction	D2O	C005	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/121.zip	NMR assay	C005	FILES/121.zip	Data transformation	C005		Metabolite identification	C005	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C006	Extraction	D2O	C006	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/122.zip	NMR assay	C006	FILES/122.zip	Data transformation	C006		Metabolite identification	C006	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
