 Metabolite_name	RefMet_name	P01-01-4749	P01-02-4750	P02-01-4751	P02-02-4752	P03-01-4753	P03-02-4754	P04-01-4755	P04-02-4756	P05-01-4757	P05-02-4758	P06-01-4759	P06-02-4760	P07-01-4761	P07-02-4762	P08-01-4763	P08-02-4764	P09-01-4765	P09-02-4766	P10-01-4767	P10-02-4768	P11-01-4769	P11-02-4770	P12-01-4771	P12-02-4772	P13-01-4773	P13-02-4774	P14-01-4775	P14-02-4776	P15-01-4777	P15-02-4778	P16-01-4779	P16-02-4780
Factors	-	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer
L-Lysine	Lysine	7348	8102	5190	5048	2520	2092	2506	2810	3104	3202	3440	4138	2800	5524	4980	6078	1962	1216	7100	6584	3850	3858	11468	9214	5042		1926	2472	9824	11888	2768	2740
L-Methionine	Methionine		9748	6052	4058		110	2984	3952	1966		20018	18200	1786	770	18064	13938	1014	882	4570	8160	8034	8374	1914	2096	10786	70	804	1378	7604	8436	2326	1988
L(-)-Nicotine pestanal	Nicotine	306	434	6544	7742	346		494	468	422	292	292	328	260		536	462	1426	1088	224	228	627828	621362	910	700	434	268	510	432	170	496	612	376
L-Norleucine	Norleucine	14948	12916	3158	5906	3144	3168	2418	5446	4968	5040	6050	1730	3748	3322	28900	13254	1028	926	11854	10894	9414	13730	32164	32736	15348	1932	956		29860	25456		
L-Phenylalanine	Phenylalanine	266024	265222	17888	18354	97806	96380	121182	116862	153472	148930	198844	194574	102016	93906	164634	172450	121502	126886	137976	139430	220208	233030	224676	240880	263030	26464	67432	63882	364308	352146	40824	38574
L-Proline	Proline	36948	31936	28668	29410	83736	94178	10058	11112	17388	19700	18396	24192	64150	91546	8560	8534	10846	12232	3860	6874	10078	9808	15158	15608	23676	6454	5490	3096	22866	16708	25976	22582
L-Sorbose	Sorbose	21188	18606	22412	21426	35966	32302	55452	56972	448	456	16072	14650	34020	33156	282	220	19104	18048		162	17002	17330	9776	8710	246	288	8232	6618	3114	2604	806	636
L-Tryptophan	Tryptophan	39416	41150	13866	13300	7754	9126	20010	19864	17072	17718	39366	41726	11058	11630	36136	34592	14046	14746	23240	23700	65790	60034	19394	19278	51884	2136	5436	6264	77096	74398	24306	23038
L-Valine	Valine	52788	51626	82998	91548	65176	69194	23082	21920	25300	22990	31474	31070	54008	57576	17110	20096	18434	22366	9808	10298	12284	12162	65734	66718	46500	14816	5512	5860	40394	38542	5682	5350
Mannose 6-phosphate	Mannose 6-phosphate	582	440	340	180	512	714	812	818	278	160	9040	9526	720	672	788	828	1096	1108	3346	4202			4634	4426	1010	832	1152	962	538	438	2292	1838
N1-Acetylspermine	N1-Acetylspermine	4552	3432	4804	3996	484	236	1032	1354	378	282	462	400	140	142	718	392	204	102	962	142	6630	6180	7848	8436	1328	108	352	332	9966	7650	1730	1366
N6-Acetyl-L-lysine	N6-Acetyllysine	20838	16358	13372	16368	7458	6930	3822	3544	3108	3424	6948	6762	5108	6300	6666	7238	2128	3920	4324		8474	7990	16328	13304	5250	4662	182	568	34940	32822	2410	1956
N-Acetyl-D-glucosamine	N-Acetylglucosamine	2376	3330	1386	1404	2228	2268	668	252			1854	1958	2294	2424	1606	2038		1564	990	934	484	390	24550	22922	1822	1138	276	304	2956	2324	3768	2928
N-Acetyllactosamine	N-Acetyllactosamine	994	1006	566	380	1588	1660	258	154	1188	1062	1230	1376	1668	1702	1144	954	1700	2072	698	700	312	256	8548	8100	984	210	234	404	2152	1938	2154	1522
N-Acetyl-L-alanine	N-Acetylalanine	6952	7428	7210	7152	7464	7334	7270	7640	6936	8460	7606	7876	7372	7222	6816	6924	7014	6988	7966	7042	6712	6686	6264	6126	5044	4970	6854	6198	5574	6054	5740	6334
N-Acetylneuraminic acid	N-Acetylneuraminic acid	6874	5536	1538	1220	7332	6808	1520	2224	2994	3418	4444	5308	6356	6946	4684	5492	10092	11240	2404	2902	3938	4014	16996	16674	15936		2000	2056	5878	5984	29686	26432
N-Acetylputrescine	N-Acetylputrescine	8988	9196	3308	3684	5162	5984		730	2388	1924	1240	1478	4462	4942	2170	2540	1202	874	646	662	1742	2086	4188	4590	5398	186		436	13458	13122	1156	770
Niacinamide	Niacinamide	29278	31422	14314	13890		460	100316	91538	2210	594	812		940	784	1402	220	4362	584	2832		1334	980	25204	24386	2448	424	1520	1422		1168		2812
N_N-Dimethylformamide	N,N-Dimethylformamide	7190	7920	1290	1646	5342	7282	3122	3022	4542	4370	1480	1590	5606	6778	2806	3246	3626	3670	9514	9454	4862	5090	15838	14312	2334		5390	4684	15496	15912	6018	5122
Oenanthic ether	Oenanthic ether	564	634	684	762	1102	986	770	1078	942	970	902	1070	974	1354	958	1516	1402	1388	1128	1812	1184	1814	1150		1186	1672	1268	1300	1980	1840	1522	1294
Orotic acid	Orotic acid	1530	1496	268	1116	212	184	466	830	698	836	768	770	160	104	256	620	1028	1790	950	620	448	416	1756	2014	486		408	110	1142	752		
o-Tyrosine	o-Tyrosine	10362	10658	2458	2490	7874	7318	4388	5170	14250	16046	14776	15940	8746	8650	9380	9554	6782	7558	11006	9408	4324	3252	13504	10524	18342	1792	8074	8060	6814	6888	17280	17116
Oxypurinol	Oxypurinol	26848	137608	34730	58078	13064	2956	23322		29258	14938	16434	8032	12138	3556	44150	19346	19476	7428	45618	17638	93600	64648	89944	1166	28920		10544	11792	51198	123466	7800	22848
Pantothenic acid	Pantothenic acid	15458	16798	25608	28774		1064	7176	8682		1274	3122			1484	3464	3114	2096	1688	1296	1782	8882	6642	5762	6108	7110	130	1156	870	20452	26570	2786	3556
Paracetamol sulfate	Paracetamol sulfate	870	1008	396	412	6970	6694	1912	1754	100	78			7254	5096	182	170	2062	2316	242	238	3668	4020	1898	1652	104		72	182	1010	760	614	896
Perillyl alcohol	Perillyl alcohol	1288	1344	1366	1286	1734	1644	1866	1850	2256	2560	2378	2584	1782	2450	2008	2454	1586	1488	1948	2636	1872	2406	3300	202	2046	1768	2100	2300	1848	2210	3108	2550
Phenol	Phenol	140	3316	130	132	948	112	1118	114	2360	82	1410	160	1224	92	1290	96	1530	82	1432		2882	4124	2360	98	160	3044	116	1130	160		88	2184
Phenylacetic acid	Phenylacetic acid	3008	3604	3254	3840	3972	4972	4278	4234	4196	3684	4614	3952	4896	4626	4638	4678	5192	4538	4608	4518	5384	4926	5918	70	4334	3080		140	5130		94	120
Phenylpropanolamine	Phenylpropanolamine	1932	1312	842	1070			1128	1556	940	850	1378	1278					172		1440	1420	894	1050	862	716			1498	1402	598	426	342	444
Phthalic acid	Phthalic acid	564	458			340	330	414	380	530	498	568	764	670	554	1008	1274	1144	1082	474	570	566	792	1802	1914		220	228	92	1254	1490	1702	1360
Picolinic acid	Picolinic acid	34544	36074	15218	9558	1968	3538	2994	6010	5510	6160	8354	7486	5126	4296	10402	9140	3754	3062	6798	9596	23344	24710	41076	45220	40006		7194	7514	35132	33866	4718	4836
Pipecolic acid	Pipecolic acid	4428	4958	1388	1482	2570	3068	1284	1260	4024	3258	8160	7046	2064	1920	4740	5132	1528	1542	5192	5780	3616	3776	1736	1722	2214	1312	1628	1354	1364	1864	2478	1788
Pregnenolone sulfate	Pregnenolone sulfate	1546	1128	926	880	1366	1164	1164	1060	932	874	1232	1138	1404	1018	1314	1366	460	970	1492	1358	504	576	6806	7588	1286		594	476	2610	3040	782	684
Propanal	Propanal	3408	3278	1784	1836	666	656	924	976	724	638	2658	2828	528	894	654	714	730	1130	748	698	7700	7830	634	818	720	384	728	984	1256	1720	196	100
Propionic acid	Propionic acid	4360	6112	11890	11156	2802	2750	2816	2912	2536	2194	4342	5120	3160	3196	2248	2066	1102	1350	1566	1494	5170	6336	2884	5460	5078	832	1486	1162	2668	3138	1090	
Propranolol	Propranolol	25732	14068			658		2110	9336	3316	9672	1882		776	1600	12278	19158	396	942	9530	12880		8068	24792	1618	19156	3630	1938	1058	55966	37692	922	488
Pyridine	Pyridine	737732	726206	757156		4858	7038	742726	769466	730160	762488	776558	762208	12068	14456	649138	687500	37932	51664		770410	778510	769752	744482	729750	315884	24206	778936	770866	686352	734308	129138	130796
Pyridoxamine	Pyridoxamine	9682	14998	2498	4288	14486	7472	2030	1054	10036	3794	3988	2738	16730	2732	5430	2400	9844	3056	6122	2724	8076	7344	5262	5572	9762	1540	2942	5714	2070	3168	754	2096
Pyrocatechol	Pyrocatechol	1934	2826	166	160	2274	2758	2078	1722	3848	4206	2516	2208	3608	5106	3788	3100	1344	1126	2068	1854	2032	2598	1554	1592	3752	834	106	198	3964	4348	324	342
Pyroglutamic acid	Pyroglutamic acid	9118	8750	1650	3160	3452	3468	9636	11314	2844	3470	12294	12262	4384	4692	2458	3422	3162	3608	3766	4264	5096	4814	8300	8420	4744	1822	1878	1858	8658	7320	2522	2442
Pyruvaldehyde	Pyruvaldehyde	196	1732		3686	2258		2878	232	1028	192	488	230	2322	166	1884		1796	198	1362	288	1090	1184	7824	8548	3346	184	840	1058		8656	302	1834
Quinaldic acid	Quinaldic acid	1056	1244	1524	1140	37546	33862	2270	2220	256	306		160	36224	33332	344	340	37912	33412	518	362	7034	7510	5804	4192			3312	3300	384	274	19870	19894
Riboflavin	Riboflavin	2752	2920	3814	3828	402	400	1562	1842	628	806	928	942	180	656	434	206	1102	1146	910	672	1948	1944	2930	3772	1666		262	208	2156	2296	360	74
Ribothymidine	Ribothymidine	7982	6440	1120	1162	3750	3674	1008	118	4588	5280	1388	1232	3032	3520	1394	1830	1420	1704	1246	1014	1054	1068	6892	6066	4238	206	1102	860	6902	6756	906	836
(R)-Lipoic acid	Lipoic acid	3694	2772	1268	938	958	1348	634	892	2662	3820	5204	5022	980	1302	3484	4074	942	1092	4160	4778	3156	3214	1020	1126	2014		1008	1426	1364	1484	1220	1222
Scopolamine	Scopolamine	1954	1850		868	936	834	482	270	754	736	1242	1866	880	982	1780	1648	1144	808	1338		720	574	2094	1720	914	1158	456	356	1870	1696	666	568
Sorbitol	Sorbitol	820	940			1472	1588	694	1150	1952	2022	2870	2988	2076	2196	1370	1556	2284	1794	1450	1718	578	480	440	532	1050	530	952	1176	1148	862	748	838
Sphinganine	Sphinganine				136		2540			3368	5172	1398	1490	3422	3918	5420	7162	4018	4676	7672	8344	4248	3262	50932		2136	2726	4204	3858	15002	14904	6642	
Sphingosine	Sphingosine	1048	942	992	914	1078	1256	1076	1376	946	1270	1108	922	1136	1270	1572	1934	1070	1060	1086	1116	1416	778	5896	2192	1526	1098	1070	910	1674	1180	1008	1148
Stearic acid	Stearic acid	2024	1610	1720	1696	2082	1704	1894	1574	1800	1776	1618	1450	1436	1976	2056	1678	1750	1754	1586	1662	1580	1588	1708	144	1488	1736	1594	1710	1422	1644	1536	1940
Succinic acid	Succinic acid	92	958	86	2550	1832	246	2532		406		158		2084		1586		1408		1078		810	966	5086	4480	3016		216	564		4772		2046
Succinylacetone	Succinylacetone	19352	18974	23548	21862	10104	10754	13470	11002	10626	12676	20810	19586	16850	16886	5436	5126	19672	21032	7160	8354	13470	14838	12624		12862	198	3606	2902	9650	9398	3936	3436
Syringic acid	Syringic acid	330	530	390	198	716	222	1016	1266	976	1180	1158	1058		688	848	894	1392	1102	1032	794	846	1024	280	518	986	206	2306	2188		170	84	174
Taurine	Taurine	2798	2122	1706	1762	972	996	2096	2090	1098	1336	1704	1848	856	676	1186	1466	1270	1244	2938	2836	2716	2548	2644	2074	914	274	802	918	2852	2820	654	658
Taurocholic acid	Taurocholic acid	984	786			350		1142	1430	606	944	770	914	194	272	686	710	976	1178	562	642	1510	1706	2002	1838	1100		302	422	21602	20338	336	
Taurodeoxycholic acid	Taurodeoxycholic acid	734	740			264		1374	882	990	1466			202		3132	3666			1778	2194			1748	1458	1508	314			1986	1738		
Threonic acid	Threonic acid	115286	109390	30350	17278	3806	4032	253672	2540	17876	22470	18206	7448	6860	1610	10998	64882	8924	296	11472	38014	9348	9838	105048	110064	67492	1138	5940	5536	111514	19330	1584	4096
Thymidine	Thymidine	4786	4796	4802	4550	1616	1736	1424	1720	1724	1874	1832	1644	1728			1152	2446	1344	1926	2562	3468	2916	10886	10094	5424		980	976	1724	2040	716	350
Thymine	Thymine	58778	31692	110202	92312	1706	2742	2258	314	10068	350	2666	1886	2058	194	19244	3096	1084	440		146	17766	14004	25028	25750	15566	3342	1304	1292	44784	51572		4266
Tiglic acid	Tiglic acid	46998	45954	69200	68800	54398	57586	14706	14284	17370	17012	16684	15662	45796	46216	10290	11088	11688	13464	5080	5006	6784	7082	43266	39158	38276	1782	3312	3456	31602	29486	2824	2812
Tiglylglycine	Tiglylglycine	1474	1532	1360	1490	1944	1474	1588	1882	1752	1808	1826	2142	2298	1500	1666	1858	1508	1458	1340	1870	1254	1254	1210	1348	1322	1114	1286	1260	1492	1332	1018	1188
Traumatic acid	Traumatic acid	694	1084	938	1144	900	700	1176	808	1570	1338	1214	1566	1048	1534	2886	3632	1412	1674	1066	904	1298	1614	830	930	1466	314	1622	1252	2506	1830	958	928
Trehalose	Trehalose	1376	1284	1140	1494	1498	1358	1402	1720	1476	1422	1396	1642	1492	1552	1494	2156	1676	1248	1634	1886	1534	1466	1288	1460	1530		1830	1496	966	844	1410	1984
Trimethylamine	Trimethylamine	68722	66276	71308	77692	11794	14804	31450	36824	14894	14332	28774	28964	13126	13104	13482	13430	16830	16976	18622	19974	46972	59064	70898	72816	30072	18560	6910	5138	79182	71664	11908	11496
Tryptamine	Tryptamine	314	236	212	224	1274	914	928	848	1376	1208	1076	1152	1418	1134	1024	1112	1596	1802	1422	1952	1588	1390	2214	1776	1282	244	1140	76	1770	1954	1874	1506
Uracil	Uracil	9356	10728	7114	8958	234		158	3656	2062	3022	2684	2728	1012	1490	4262	4028	418	2668	3756	4860	7676	7262	4442	3652	10202	570	1576	900		7568	3260	2426
Urea	Urea	3106	2682	1426	1648	12458	14618	8316	12604	8210	7266	7578	9190	11596	9728	5766	4668	11154	11172	7224	5710	1352	1378	1708	1708	1636	1556	8052	8176	2138	1648	32826	36176
Ureidosuccinic acid	N-Carbamoylaspartic acid	3222	3292	3750	4372	2152	2154	2656	3240	3108	3832	4790	4510	5452	6210	3220	3054	14610	16362	2426	3098	4632	4556		122	3324	2704	1972	2552	2898	3090	2926	3634
Uric acid	Uric acid	15418	31620	12428	16310	185158	79386	138976	52948	70450	31940	155152	75736	141008	49416	96542	44246	131796	46990	36362	16022	143838	127880	858	646	121592	2626	211642	249202	1068	2264	150318	281208
Uridine	Uridine	16348	17032	20366	20362	17154	14560	20420	20604	23732	21808	34674	33674	36954	41950	23660	21906	74608	80088	18526	21302	28450	28574	18234	360	20314	21138	15804	15486	21036	18448	23268	22414
Uridine 5^-monophosphate	UMP	2712	2334	1954	2480	1286	1194	4628	4716	532	838	142	212	1602	1880	1712	2252	244	292	1826	1664	222	248	508	580	1052	2234	846	1020	362	420	6920	7670
Uridine diphosphate-N-acetylglucosamine	UDP-N-acetylglucosamine	184				1358	1710	648	1112	208		2056	2212	1132	1444			1826			92	1048	1008		176			740	490	114	154	5200	5258
Urocanic acid	Urocanic acid	1030	816	1122	1066	750	1048	1148	1332	1378	1446	1392	1188	922	1384	1288	1680	1320	1184	1400	1168	992	1188	1298	734	1584	550	1766	1168	1284	1312	1294	1184
																																	
