 Metabolite_name	RefMet_name	P01-01-4749	P01-02-4750	P02-01-4751	P02-02-4752	P03-01-4753	P03-02-4754	P04-01-4755	P04-02-4756	P05-01-4757	P05-02-4758	P06-01-4759	P06-02-4760	P07-01-4761	P07-02-4762	P08-01-4763	P08-02-4764	P09-01-4765	P09-02-4766	P10-01-4767	P10-02-4768	P11-01-4769	P11-02-4770	P12-01-4771	P12-02-4772	P13-01-4773	P13-02-4774	P14-01-4775	P14-02-4776	P15-01-4777	P15-02-4778	P16-01-4779	P16-02-4780
Factors	-	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer
Alpha-N-phenylacetyl-L-glutamine	alpha-N-Phenylacetylglutamine	3888	3862	126	270	428	322	8498	9166	2582	2652	1244	1646	132	380	2490	2526	168	224	1606	2328	3564	4424	834	966	3422	212	218	218	2188	5938	152	210
Aminoadipic acid	Aminoadipic acid	1142	1100	2512	1962	1636	1224	630	550	494	354	326	198	878	1156	194	416	294	366	182	252	276	358	2936	4426	1256	450	200	194	1402	1574	2506	1928
Androsterone	Androsterone	992	1166	558	564	1698	1796	1384	1470	818	1194	1266	1464	1478	1874	1384	1740	1970	2064	1720	2074	2424	3384	1902	100	1904		2496	2524	4142	4202	4284	3586
Anserine	Anserine	2992	3092	2882		3182	2820	1996	2204	4392	3852	5040	4254	3932		3374	3342	3208	4064	4408	4180	3186	2736	2592		3040	3370	2054	2056	1746		2202	
Aspartame	Aspartame	23676	25594	4126	4714	1558	1970	1152	1072	7690	6126	926	962	1916	2242	18344	17178	582	390	6852	8514	9934	8986	18208	21342	12488	206	1120	936	25536	19438	552	678
Asymmetric dimethylarginine	Dimethylarginine	3854	4190	5422	5840	1034	1170	1424	1320	608	644	802	340	682	1072	1288	2102	422	442	668	550	1158	1616	1576	1614	2142	308	78	126	8828	7900	510	524
Azelaic acid	Azelaic acid	3726	3778	3004	3380	1838	2378	2316	2230	1844	2116	3612	3294	1604	2434	2256	2724	2598	2548	2858	3104	7346	6328	2636	2442	2656	234	3952	3198	2018		2824	2866
Benzaldehyde	Benzaldehyde	20684	19482	36212	32830	1204		3960	3556	2932	3414	1828	1554	1600	1448	14494	13080	1420	1192	6690	6606	5084	4588	7092	9704	12574	460	890	1182	53306	56884	1170	980
Benzene	Benzene	858	812	1298	2010	688	632	814	998	1162	962	1210	1662	1144	1214	876	982	1272	692	1220	1252	3416	2668	1676	378	1450	226	1014	778	1256	1436	832	956
Benzocaine	Benzocaine	27356	29336	4728	4416	7364	6940	6034	6230	20832	21264	9658	8630	8316	6154	37486	38586	5126	4842	21430	21512	9312	9532	28800	25646	26074	2156	9002	7414	33364	34032	4386	4892
